City_ID,City,Lat,Lng,Max Temp,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs),Humidity,Cloudiness,Wind Speed,Country,Date
24,Vaini,-21.2,-175.2,80.6,broken clouds,0.0,0.0,88,75,10.29,TO,2020-04-24 03:12:28
25,Peniche,39.36,-9.38,57.0,overcast clouds,0.0,0.0,88,95,5.99,PT,2020-04-24 03:12:28
26,Lagoa,39.05,-27.98,59.49,overcast clouds,0.0,0.0,82,100,7.2,PT,2020-04-24 03:12:28
27,Krasnoselkup,65.7,82.47,41.95,overcast clouds,0.0,0.0,81,99,17.58,RU,2020-04-24 03:12:28
28,Hamilton,39.18,-84.53,55.0,overcast clouds,0.0,0.0,93,90,5.57,US,2020-04-24 03:12:29
29,Bambous Virieux,-20.34,57.76,75.99,light rain,0.27,0.0,89,37,7.0,MU,2020-04-24 03:11:01
30,Arraial Do Cabo,-22.97,-42.03,74.1,few clouds,0.0,0.0,68,14,6.6,BR,2020-04-24 03:12:29
31,Touros,-5.2,-35.46,77.0,scattered clouds,0.0,0.0,94,40,3.36,BR,2020-04-24 03:12:29
32,Rikitea,-23.12,-134.97,76.01,few clouds,0.0,0.0,77,24,12.17,PF,2020-04-24 03:12:29
33,Souillac,-20.52,57.52,75.99,light rain,0.41,0.0,89,66,7.0,MU,2020-04-24 03:12:30
34,Cidreira,-30.18,-50.21,68.59,clear sky,0.0,0.0,83,0,16.24,BR,2020-04-24 03:12:30
35,Hobart,-42.88,147.33,63.0,broken clouds,0.0,0.0,42,75,17.22,AU,2020-04-24 03:09:35
36,Kuusamo,65.97,29.18,19.4,clear sky,0.0,0.0,67,5,6.93,FI,2020-04-24 03:12:30
37,Dikson,73.51,80.55,34.0,overcast clouds,0.0,0.0,92,100,19.86,RU,2020-04-24 03:12:30
38,Upernavik,72.79,-56.15,24.8,clear sky,0.0,0.0,97,3,7.78,GL,2020-04-24 03:09:33
39,Thompson,55.74,-97.86,37.4,overcast clouds,0.0,0.0,74,90,4.7,CA,2020-04-24 03:09:45
40,Cherskiy,68.75,161.3,31.98,overcast clouds,0.0,0.0,97,100,6.6,RU,2020-04-24 03:12:31
41,Port Alfred,-33.59,26.89,63.0,overcast clouds,0.0,0.0,95,100,1.99,ZA,2020-04-24 03:12:31
42,Baruun-Urt,46.68,113.28,48.88,broken clouds,0.0,0.0,29,61,24.34,MN,2020-04-24 03:12:31
43,Kharp,66.8,65.81,19.35,overcast clouds,0.0,0.0,93,100,9.51,RU,2020-04-24 03:12:32
44,Floro,61.6,5.03,44.6,broken clouds,0.0,0.0,70,55,14.99,NO,2020-04-24 03:12:32
45,Port Elizabeth,-33.92,25.57,59.0,broken clouds,0.0,0.0,93,75,2.24,ZA,2020-04-24 03:12:32
46,Fukue,32.69,128.84,55.4,few clouds,0.0,0.0,47,20,14.99,JP,2020-04-24 03:12:32
47,Punta Arenas,-53.15,-70.92,37.4,scattered clouds,0.0,0.0,69,40,8.05,CL,2020-04-24 03:11:19
48,Jamestown,42.1,-79.24,50.0,scattered clouds,0.0,0.0,61,40,4.7,US,2020-04-24 03:12:33
49,Kodiak,57.79,-152.41,42.8,moderate rain,0.0,0.0,87,90,13.87,US,2020-04-24 03:12:33
50,New Norfolk,-42.78,147.06,63.0,overcast clouds,0.0,0.0,66,99,8.99,AU,2020-04-24 03:10:17
51,Hithadhoo,-0.6,73.08,84.11,overcast clouds,0.0,0.0,73,100,8.61,MV,2020-04-24 03:12:34
52,Qaanaaq,77.48,-69.36,10.99,broken clouds,0.0,0.0,90,58,3.18,GL,2020-04-24 03:12:34
53,Makali,8.63,-11.67,69.96,moderate rain,3.08,0.0,88,100,4.97,SL,2020-04-24 03:12:34
54,Yarmouth,41.71,-70.23,46.4,overcast clouds,0.0,0.0,65,90,9.17,US,2020-04-24 03:12:35
55,Khani,41.96,42.96,44.6,broken clouds,0.0,0.0,100,75,2.24,GE,2020-04-24 03:12:35
56,Florida,28.75,-82.5,79.0,broken clouds,0.0,0.0,78,75,11.23,US,2020-04-24 03:12:35
57,Atar,20.52,-13.05,65.89,clear sky,0.0,0.0,36,0,5.84,MR,2020-04-24 03:12:35
